Sr. No.,Symbol,Company Name,"Market capitalization as on March 31, 2023
(Rs in Lakhs)"
437,BBTC,Bombay Burmah Trading Corporation Limited,566094
438,SWANENERGY,Swan Energy Limited,564255
439,GPPL,Gujarat Pipavav Port Limited,562966
440,KAYNES,Kaynes Technology India Limited,559796
441,VRLLOG,VRL Logistics Limited,558861
442,INTELLECT,Intellect Design Arena Limited,557277
443,SWSOLAR,Sterling and Wilson Renewable Energy Limited,553146
444,CHEMPLASTS,Chemplast Sanmar Limited,549984
445,QUESS,Quess Corp Limited,547804
446,ROLEXRINGS,Rolex Rings Limited,545265
447,MAHLIFE,Mahindra Lifespace Developers Limited,544509
448,ESABINDIA,Esab India Limited,543812
449,MHRIL,Mahindra Holidays & Resorts India Limited,543037
450,GOCOLORS,Go Fashion (India) Limited,542601
451,HGS,Hinduja Global Solutions Limited,540801
452,BORORENEW,BOROSIL RENEWABLES LIMITED,536152
453,GAEL,Gujarat Ambuja Exports Limited,532861
454,MAPMYINDIA,C.E. Info Systems Limited,532476
455,PRSMJOHNSN,Prism Johnson Limited,530286
456,RUSTOMJEE,Keystone Realtors Limited,527423
457,IRCON,Ircon International Limited,526689
458,RCF,Rashtriya Chemicals and Fertilizers Limited,526035
459,WELCORP,Welspun Corp Limited,524366
460,BEML,BEML Limited,523638
461,GRSE,Garden Reach Shipbuilders & Engineers Limited,521670
462,EPL,EPL Limited,516229
463,MINDACORP,Minda Corporation Limited,514379
464,GRAPHITE,Graphite India Limited,512959
465,HGINFRA,H.G. Infra Engineering Limited,510094
466,OLECTRA,Olectra Greentech Limited,508285
467,RELINFRA,Reliance Infrastructure Limited,507457
468,JUSTDIAL,Just Dial Limited,501835
469,RAIN,Rain Industries Limited,501323
470,IONEXCHANG,ION Exchange (India) Limited,500712
471,EDELWEISS,Edelweiss Financial Services Limited,496071
472,UJJIVANSFB,Ujjivan Small Finance Bank Limited,493535
473,TV18BRDCST,TV18 Broadcast Limited,492879
474,GPIL,Godawari Power And Ispat limited,491757
475,MTARTECH,Mtar Technologies Limited,486478
476,TCI,Transport Corporation of India Limited,486206
477,RTNINDIA,RattanIndia Enterprises Limited,485868
478,VSTIND,VST Industries Limited,485733
479,SAFARI,Safari Industries (India) Limited,485572
480,ACE,Action Construction Equipment Limited,484550
481,MAHSCOOTER,Maharashtra Scooters Limited,483811
482,DELTACORP,Delta Corp Limited,483347
483,GLS,Glenmark Life Sciences Limited,481409
484,GHCL,GHCL Limited,481322
485,INDIGOPNTS,Indigo Paints Limited,479856
486,MAHSEAMLES,Maharashtra Seamless Limited,479114
487,SUPRAJIT,Suprajit Engineering Limited,477178
488,KFINTECH,Kfin Technologies Limited,474263
489,GSFC,Gujarat State Fertilizers & Chemicals Limited,474188
490,J&KBANK,The Jammu & Kashmir Bank Limited,471606
491,RELIGARE,Religare Enterprises Limited,469161
492,MASTEK,Mastek Limited,469144
493,SIS,SIS LIMITED,467281
494,JINDALSAW,Jindal Saw Limited,466521
495,TEGA,Tega Industries Limited,465441
496,SYRMA,Syrma SGS Technology Limited,464130
497,AVANTIFEED,Avanti Feeds Limited,462486
498,STARCEMENT,Star Cement Limited,461302
499,IBULHSGFIN,Indiabulls Housing Finance Limited,459099
500,RKFORGE,Ramkrishna Forgings Limited,457444
501,CAPLIPOINT,Caplin Point Laboratories Limited,452342
502,VAIBHAVGBL,Vaibhav Global Limited,450209
503,RBA,Restaurant Brands Asia Limited,445580
504,JUBLPHARMA,Jubilant Pharmova Limited,444155
505,SHARDACROP,Sharda Cropchem Limited,441810
506,NIITLTD,NIIT Limited,439151
507,PCBL,PCBL LIMITED,438234
508,MASFIN,MAS Financial Services Limited,438116
509,SCI,Shipping Corporation Of India Limited,435988
510,PDSL,PDS Limited,434876
511,GUJALKALI,Gujarat Alkalies and Chemicals Limited,429765
512,ELECON,Elecon Engineering Company Limited,428772
513,CMSINFO,CMS Info Systems Limited,427611
514,VMART,V-Mart Retail Limited,427540
515,ICRA,ICRA Limited,426811
516,JSWHL,JSW Holdings Limited,425926
517,FDC,FDC Limited,425228
518,CSBBANK,CSB Bank Limited,425214
519,KTKBANK,The Karnataka Bank Limited,423778
520,MMTC,MMTC Limited,418500
521,ENGINERSIN,Engineers India Limited,418441
522,SUNTECK,Sunteck Realty Limited,417025
523,PRIVISCL,Privi Speciality Chemicals Limited,410783
524,PARADEEP,Paradeep Phosphates Limited,410507
525,SOBHA,Sobha Limited,408406
526,FUSION,Fusion Micro Finance Limited,403278
527,GMDCLTD,Gujarat Mineral Development Corporation Limited,402588
528,VIJAYA,Vijaya Diagnostic Centre Limited,399405
529,JAMNAAUTO,Jamna Auto Industries Limited,397228
530,ANANTRAJ,Anant Raj Limited,395884
531,SANSERA,Sansera Engineering Limited,395622
532,MFL,Meghmani Finechem Limited,392088
533,AHLUCONT,Ahluwalia Contracts (India) Limited,386284
534,BSHSL,Bombay Super Hybrid Seeds Limited,385854
535,TATACOFFEE,Tata Coffee Limited,384467
536,TEAMLEASE,Teamlease Services Limited,382874
537,JKTYRE,JK Tyre & Industries Limited,381658
